plant	mother plant	treatment	period	day	temperature	number of ants	number of ant morphospecies	probability of attendance	Camponotus	Linepithema	Brachymyrmex	Nylanderia	Attendance by Nylanderia	Sharing
34	13	JA	morning	5	40	4	2	1	NA	2	2	NA	0	1
33	11	JA	morning	5	40	9	1	1	NA	NA	9	NA	0	0
53	11	Control	morning	5	40	6	1	1	NA	NA	6	NA	0	0
39	22	Control	morning	5	43	1	1	1	NA	NA	1	NA	0	0
6	18	Control	morning	5	43	9	1	1	NA	NA	9	NA	0	0
11	3	JA	morning	5	42	10	1	1	NA	NA	10	NA	0	0
52	8	Control	morning	5	43	NA	0	0	NA	NA	NA	NA	NA	NA
25	16	JA	afternoon	5	32	36	4	1	NA	1	32	2	1	1
24	13	Control	afternoon	5	34	NA	0	0	NA	NA	NA	NA	NA	NA
20	30	JA	afternoon	5	32	NA	0	0	NA	NA	NA	NA	NA	NA
34	13	JA	afternoon	5	30	2	2	1	1	NA	NA	1	1	1
33	11	JA	afternoon	5	29	6	1	1	NA	NA	6	NA	0	0
53	11	Control	afternoon	5	28	6	1	1	NA	NA	6	NA	0	0
39	22	Control	afternoon	5	27	3	1	1	NA	NA	3	NA	0	0
6	18	Control	afternoon	5	23	9	1	1	NA	NA	9	NA	0	0
11	3	JA	afternoon	5	22	2	1	1	NA	NA	2	NA	0	0
52	8	Control	afternoon	5	22	1	1	1	NA	NA	1	NA	0	0
8	26	Control	morning	6	30	2	1	1	NA	NA	2	NA	0	0
12	8	JA	morning	6	30	2	1	1	NA	NA	2	NA	0	0
7	21	Control	morning	6	32	1	1	1	1	NA	NA	NA	0	0
16	18	JA	morning	6	30	8	1	1	NA	NA	8	NA	0	0
35	16	Control	morning	6	30	23	2	1	NA	1	22	NA	0	1
38	26	JA	morning	6	29	4	1	1	NA	NA	4	NA	0	0
50	30	Control	morning	6	28	6	2	1	NA	2	4	NA	0	1
49	22	JA	morning	6	28	2	1	1	2	NA	NA	NA	0	0
46	3	Control	morning	6	29	NA	0	0	NA	NA	NA	NA	NA	NA
57	21	JA	morning	6	34	NA	0	0	NA	NA	NA	NA	NA	NA
8	26	Control	afternoon	6	26	4	1	1	NA	NA	4	NA	0	0
12	8	JA	afternoon	6	25	10	1	1	NA	NA	10	NA	0	0
7	21	Control	afternoon	6	23	3	1	1	NA	NA	NA	3	1	0
16	18	JA	afternoon	6	23	5	1	1	NA	NA	5	NA	0	0
35	16	Control	afternoon	6	22	12	3	1	NA	3	7	2	1	1
38	26	JA	afternoon	6	20	5	2	1	NA	NA	4	1	1	1
50	30	Control	afternoon	6	19	1	1	1	NA	NA	NA	1	1	0
49	22	JA	afternoon	6	18	NA	0	0	NA	NA	NA	NA	NA	NA
46	3	Control	afternoon	6	17	1	1	1	NA	NA	NA	1	1	0
57	21	JA	afternoon	6	17	NA	0	0	NA	NA	NA	NA	NA	NA
8	26	Control	morning	7	29	9	1	1	NA	NA	9	NA	0	0
12	8	JA	morning	7	29	6	1	1	NA	NA	6	NA	0	0
7	21	Control	morning	7	32	1	1	1	1	NA	NA	NA	0	0
16	18	JA	morning	7	33	7	1	1	NA	NA	7	NA	0	0
35	16	Control	morning	7	38	28	1	1	NA	NA	28	NA	0	0
38	26	JA	morning	7	37	4	1	1	NA	NA	4	NA	0	0
50	30	Control	morning	7	39	7	1	1	NA	NA	7	NA	0	0
49	22	JA	morning	7	39	2	1	1	1	NA	NA	NA	0	0
46	3	Control	morning	7	39	NA	0	0	NA	NA	NA	NA	NA	NA
57	21	JA	morning	7	38	NA	0	0	NA	NA	NA	NA	NA	NA
8	26	Control	afternoon	7	30	6	1	1	NA	NA	6	NA	0	0
12	8	JA	afternoon	7	32	5	1	1	NA	NA	5	NA	0	0
7	21	Control	afternoon	7	30	1	1	1	NA	NA	NA	1	1	0
16	18	JA	afternoon	7	29	5	1	1	NA	NA	5	NA	0	0
35	16	Control	afternoon	7	28	25	1	1	NA	NA	25	NA	0	0
38	26	JA	afternoon	7	24	4	2	1	NA	NA	3	1	1	1
50	30	Control	afternoon	7	23	6	1	1	NA	NA	6	NA	0	0
49	22	JA	afternoon	7	21	2	2	1	NA	1	NA	1	1	1
46	3	Control	afternoon	7	21	1	1	1	NA	NA	NA	1	1	0
57	21	JA	afternoon	7	20	1	1	1	NA	NA	NA	1	1	0
8	26	Control	morning	8	35	9	1	1	NA	NA	9	NA	0	0
12	8	JA	morning	8	34	7	1	1	NA	NA	7	NA	0	0
7	21	Control	morning	8	33	NA	0	0	NA	NA	NA	NA	NA	NA
16	18	JA	morning	8	33	7	1	1	NA	NA	7	NA	0	0
35	16	Control	morning	8	33	18	2	1	NA	NA	15	3	1	1
38	26	JA	morning	8	34	5	1	1	NA	NA	5	NA	0	0
50	30	Control	morning	8	34	10	1	1	NA	NA	10	NA	0	0
49	22	JA	morning	8	33	1	1	1	1	NA	NA	NA	0	0
46	3	Control	morning	8	33	1	1	1	NA	NA	NA	1	1	0
57	21	JA	morning	8	33	NA	0	0	NA	NA	NA	NA	NA	NA
8	26	Control	afternoon	8	36	10	1	1	NA	NA	10	NA	0	0
12	8	JA	afternoon	8	35	8	1	1	NA	NA	8	NA	0	0
7	21	Control	afternoon	8	31	NA	0	0	NA	NA	NA	NA	NA	NA
16	18	JA	afternoon	8	29	2	2	1	NA	NA	1	1	1	1
35	16	Control	afternoon	8	26	9	3	1	NA	1	3	5	1	1
38	26	JA	afternoon	8	25	3	1	1	NA	NA	3	NA	0	0
50	30	Control	afternoon	8	24	10	1	1	NA	NA	10	NA	0	0
49	22	JA	afternoon	8	24	NA	0	0	NA	NA	NA	NA	NA	NA
46	3	Control	afternoon	8	22	1	1	1	NA	NA	NA	1	1	0
57	21	JA	afternoon	8	22	NA	0	0	NA	NA	NA	NA	NA	NA
8	26	Control	morning	9	33	7	1	1	NA	NA	7	NA	0	0
12	8	JA	morning	9	35	11	2	1	1	NA	10	NA	0	1
7	21	Control	morning	9	38	NA	0	0	NA	NA	NA	NA	NA	NA
16	18	JA	morning	9	40	13	1	1	NA	NA	13	NA	0	0
35	16	Control	morning	9	40	28	2	1	NA	NA	27	1	1	1
38	26	JA	morning	9	38	6	1	1	NA	NA	6	NA	0	0
50	30	Control	morning	9	37	12	1	1	NA	NA	12	NA	0	0
49	22	JA	morning	9	37	2	2	1	1	NA	NA	1	1	1
46	3	Control	morning	9	35	NA	0	0	NA	NA	NA	NA	NA	NA
57	21	JA	morning	9	34	NA	0	0	NA	NA	NA	NA	NA	NA
8	26	Control	afternoon	9	25	NA	0	0	NA	NA	NA	NA	NA	NA
12	8	JA	afternoon	9	28	8	1	1	NA	NA	8	NA	0	0
7	21	Control	afternoon	9	25	NA	0	0	NA	NA	NA	NA	NA	NA
16	18	JA	afternoon	9	22	1	1	1	NA	NA	NA	1	1	0
35	16	Control	afternoon	9	21	6	1	1	NA	NA	NA	6	1	0
38	26	JA	afternoon	9	22	1	1	1	NA	NA	NA	1	1	0
50	30	Control	afternoon	9	21	1	1	1	NA	NA	NA	1	1	0
49	22	JA	afternoon	9	21	2	1	1	NA	NA	NA	2	1	0
46	3	Control	afternoon	9	21	NA	0	0	NA	NA	NA	NA	NA	NA
57	21	JA	afternoon	9	21	NA	0	0	NA	NA	NA	NA	NA	NA
8	26	Control	morning	10	34	11	2	1	NA	1	10	NA	0	1
12	8	JA	morning	10	33	8	2	1	NA	NA	5	3	1	1
7	21	Control	morning	10	36	NA	0	0	NA	NA	NA	NA	NA	NA
16	18	JA	morning	10	34	7	1	1	NA	NA	7	NA	0	0
35	16	Control	morning	10	34	15	2	1	NA	NA	14	1	1	1
38	26	JA	morning	10	36	4	1	1	NA	NA	4	NA	0	0
50	30	Control	morning	10	36	8	1	1	NA	NA	8	NA	0	0
49	22	JA	morning	10	35	1	1	1	1	NA	NA	NA	0	0
46	3	Control	morning	10	32	NA	0	0	NA	NA	NA	NA	NA	NA
